"","value","labl","lga","piped_sewer_system","septic_tank","pit_latrine","open_drain","flushed_elsewhere","ventilated_improved_pit_latrine","pit_latrine_with_slab","open_pit_latrine","composting_toilet","hanging_toilet_latrine","no_facilities"
"206",1020,"1020. UGHELLI SOUTH","Ughelli South",0,0,0,0,0,0,0,0,0,0,0
"207",1021,"1021. UKWUANI","Ukwuani",0,0,0,0,0,0,0,0,0,0,0
"208",1022,"1022. UWIE","Uwie",7,9,3,0,0,0,1,0,0,0,0
"209",1023,"1023. WARRI NORTH","Warri North",1,5,0,0,0,1,0,0,0,0,3
"210",1024,"1024. WARR  SOUTH WEST","Warr South West",0,0,0,0,0,0,0,0,0,0,0
"211",1025,"1025. WARR  SOUTH","Warr South",2,4,0,0,0,0,0,0,0,0,1
"212",1101,"1101. ABAKALIKI","Abakaliki",1,0,0,0,0,0,0,2,0,0,7
"213",1102,"1102. AFIKPO NORTH","Afikpo North",0,0,0,0,0,0,1,5,0,0,2
"214",1103,"1103. AFIKPO SOUTH","Afikpo South",0,0,0,0,0,0,0,0,0,0,0
"215",1104,"1104. EBONYI","Ebonyi",7,3,0,0,0,0,0,11,0,0,19
"216",1105,"1105. EZZA NORTH","Ezza North",0,0,0,0,0,0,0,0,0,0,10
"217",1106,"1106. EZZA SOUTH","Ezza South",0,0,0,0,0,0,0,0,0,0,10
"218",1107,"1107. IKWO","Ikwo",0,0,0,0,0,0,0,0,0,0,0
"219",1108,"1108. ISHIELU","Ishielu",0,0,0,0,0,0,0,0,0,0,0
"220",1109,"1109. IVO","Ivo",1,1,0,0,0,0,1,1,0,0,6
"221",1110,"1110. IZZI","Izzi",0,0,0,0,0,0,0,0,0,0,0
"222",1111,"1111. OHAOZARA","Ohaozara",0,0,0,0,0,0,0,0,0,0,0
"223",1112,"1112. OHAUKWU","Ohaukwu",0,0,0,0,0,0,2,0,0,0,8
"224",1113,"1113. ONICHA","Onicha",0,0,0,0,0,0,0,0,0,0,10
"225",1201,"1201. AKOKO EDO","Akoko Edo",2,1,1,0,0,0,1,0,0,0,5
"226",1202,"1202. EGOR","Egor",1,0,0,0,0,0,0,0,0,0,0
"227",1203,"1203. ESAN NORTH EAST","Esan North East",7,0,0,0,0,0,3,0,0,0,0
"228",1204,"1204. ESAN CENTRAL","Esan Central",0,0,0,0,0,0,0,0,0,0,0
"229",1205,"1205. ESAN SOUTH EAST","Esan South East",0,0,0,0,0,0,0,0,0,0,0
"230",1206,"1206. ESAN WEST","Esan West",0,0,0,0,0,0,0,0,0,0,0
"231",1207,"1207. ETSAKO CENTRAL","Etsako Central",8,1,0,0,0,0,0,0,0,0,1
"232",1208,"1208. ETSAKO EAST","Etsako East",3,0,0,0,0,0,5,1,0,0,21
"233",1209,"1209. ETSAKO WEST","Etsako West",14,1,1,0,0,0,2,0,0,0,3
"234",1210,"1210. IGUGBEN","Igugben",0,0,0,0,0,0,0,0,0,0,0
"235",1211,"1211. IKPOBA OKHA","Ikpoba Okha",2,23,1,0,0,0,3,0,0,0,0
"236",1212,"1212. OREDO","Oredo",0,10,0,0,0,0,0,0,0,0,0
"237",1213,"1213. ORHIONMWON","Orhionmwon",0,0,0,0,0,0,0,0,0,0,0
"238",1214,"1214. OVIA NORTH EAST","Ovia North East",0,0,0,0,0,0,0,0,0,0,5
"239",1215,"1215. OVIA SOUTH WEST","Ovia South West",0,1,0,0,0,0,1,0,0,0,8
"240",1216,"1216. OWAN EAST","Owan East",0,3,3,0,0,0,3,0,0,0,11
"241",1217,"1217. OWAN WEST","Owan West",0,0,0,0,0,0,0,0,0,0,0
"242",1218,"1218. UHUNMUONDE","Uhunmuonde",0,2,3,0,0,0,4,1,0,0,0
"243",1301,"1301. ADO EKITI","Ado Ekiti",0,10,0,0,0,0,0,0,0,0,0
"244",1302,"1302. EFON","Efon",0,0,0,0,0,0,0,0,0,0,0
"245",1303,"1303. EKITI EAST","Ekiti East",0,3,5,0,0,0,3,0,0,0,7
"246",1304,"1304. EKITI SOUTH WEST","Ekiti South West",0,0,0,0,0,0,0,0,0,0,0
"247",1305,"1305. EKITI WEST","Ekiti West",0,0,0,0,0,0,0,0,0,0,0
"248",1306,"1306. EMURE","Emure",0,6,0,0,0,0,0,0,0,0,14
"249",1307,"1307. GBOYIN","Gboyin",0,5,7,0,0,0,0,0,0,0,15
"250",1308,"1308. IDO OSI","Ido Osi",0,0,2,0,0,0,5,0,0,0,3
"251",1309,"1309. IJERO","Ijero",0,0,0,0,0,0,0,0,0,0,9
"252",1310,"1310. IKARE","Ikare",0,6,2,0,0,0,1,0,0,0,1
