value,labl,lga
3310,3310. KEBBE,Kebbe
3311,3311. KWARE,Kware
3312,3312. RABAH,Rabah
3313,3313. SABON BIRNI,Sabon Birni
3314,3314. SHAGARI,Shagari
3315,3315. SILAME,Silame
3316,3316. SOKOTO NORTH,Sokoto North
3317,3317. SOKOTO SOUTH,Sokoto South
3318,3318. JAMBUWAL,Jambuwal
3319,3319. TANGAZA,Tangaza
3320,3320. TURETA,Tureta
3321,3321. WAMAKKO,Wamakko
3322,3322. WURNO,Wurno
3323,3323. YABO,Yabo
3401,3401. ARDO KOLA,Ardo Kola
3402,3402. BALI,Bali
3403,3403. DONGA,Donga
3404,3404. GASHAKA,Gashaka
3405,3405. GASSOL,Gassol
3406,3406. IBI,Ibi
3407,3407. JALINGO,Jalingo
